name,year,committee,region,cleanedName,cleanedRegion,Continent,DirectMatch,FuzzyMatch,GenderGuesser
Vyas Sekar,2017,Organizing,Carnegie Mellon University,Vyas Sekar,Carnegie Mellon University,North America,Male,Male,unknown
Ethan Katz-Bassett,2017,Organizing,University of Southern California,Ethan Katz-Bassett,University of Southern California,North America,Male,Male,male
Justine Sherry,2017,Organizing,Carnegie Mellon University,Justine Sherry,Carnegie Mellon University,North America,Male,Male,female
Giovanni Pau,2017,Organizing,"University Pierre et Marie Curie/LIP6, Paris, France",Giovanni Pau,"University Pierre et Marie Curie/LIP6, Paris, France",Europe,,Male,male
Vahab Pournaghshband,2017,Organizing,"California State University, Northridge",Vahab Pournaghshband,"California State University, Northridge",North America,Male,Male,unknown
Sergey Gorinsky,2018,Organizing,"IMDEA, Spain",Sergey Gorinsky,"IMDEA, Spain",Europe,Male,Male,male
JÃ¡nos Tapolcai,2018,Organizing,"BME, Hungary",Janos Tapolcai,"BME, Hungary",Europe,,Male,unknown
Tilman Wolf,2018,Organizing,"UMass, USA",Tilman Wolf,"UMass, USA",North America,Male,Male,male
Mark Handley,2018,Organizing,"UCL, UK",Mark Handley,"UCL, UK",Europe,Male,Male,male
Dina Katabi,2018,Organizing,"MIT, USA",Dina Katabi,"MIT, USA",North America,Female,Female,female
Xiaoming Fu,2018,Organizing,"GAU, Germany",Xiaoming Fu,"GAU, Germany",Europe,,Male,unknown
K. K. Ramakrishnan,2018,Organizing,"UCR, USA",K. K. Ramakrishnan,"UCR, USA",North America,Male,Male,unknown
Marco Canini,2018,Organizing,"KAUST, KSA",Marco Canini,"KAUST, KSA",Asia,Male,Male,male
BalÃ¡zs Sonkoly,2018,Organizing,"BME, Hungary",Balazs Sonkoly,"BME, Hungary",Europe,,Male,unknown
Aleksandar Kuzmanovic,2018,Organizing,"Northwestern, USA",Aleksandar Kuzmanovic,"Northwestern, USA",North America,Male,Male,male
Matteo Varvello,2018,Organizing,"AT&T, USA",Matteo Varvello,"AT&T, USA",North America,Male,Male,male
Suresh Subramaniam,2018,Organizing,"GWU, USA",Suresh Subramaniam,"GWU, USA",North America,,,mostly_male
Szabolcs Malomsoky,2018,Organizing,"Ericsson, Hungary",Szabolcs Malomsoky,"Ericsson, Hungary",Europe,,,male
Ruslan Smeliansky,2018,Organizing,"MSU and ARCCN, Russia",Ruslan Smeliansky,"MSU and ARCCN, Russia",Europe,,,male
AndrÃ¡s CsÃ¡szÃ¡r,2018,Organizing,"Ericsson, Hungary",Andras Csaszar,"Ericsson, Hungary",Europe,Male,Male,unknown
Ravi Kokku,2018,Organizing,"IBM, USA",Ravi Kokku,"IBM, USA",North America,,,mostly_male
Costin Raiciu,2018,Organizing,"UPB, Romania",Costin Raiciu,"UPB, Romania",Europe,Male,Male,male
Marco Chiesa,2018,Organizing,"KTH, Sweden",Marco Chiesa,"KTH, Sweden",Europe,Male,Male,male
Zhi-Li Zhang,2018,Organizing,"UMN, USA",Zhi-Li Zhang,"UMN, USA",North America,Male,Male,andy
Fernando Kuipers,2018,Organizing,"TU Delft, Netherlands",Fernando Kuipers,"TU Delft, Netherlands",Europe,Male,Male,male
GÃ¡bor RÃ©tvÃ¡ri,2018,Organizing,"BME, Hungary",Gabor Retvari,"BME, Hungary",Europe,Male,Male,unknown
Vasileios Giotsas,2018,Organizing,"Lancaster, UK",Vasileios Giotsas,"Lancaster, UK",Europe,Male,Male,male
ZoltÃ¡n LÃ¡zÃ¡r,2018,Organizing,"Nokia, Hungary",Zoltan Lazar,"Nokia, Hungary",Europe,Male,Male,unknown
Levente Csikor,2018,Organizing,"BME, Hungary and Unicamp, Brazil",Levente Csikor,"BME, Hungary and Unicamp, Brazil",South America,,,male
IstvÃ¡n GÃ³dor,2018,Organizing,"Ericsson, Hungary",Istvan Godor,"Ericsson, Hungary",Europe,,Male,unknown
ZalÃ¡n Heszberger,2018,Organizing,"BME, Hungary",Zalan Heszberger,"BME, Hungary",Europe,,Male,unknown
Michael Schapira,2018,Organizing,"HUJI, Israel",Michael Schapira,"HUJI, Israel",Asia,Male,Male,male
Stefan Schmid,2018,Organizing,"Univie, Austria",Stefan Schmid,"Univie, Austria",Europe,,Male,male
Joseph Tardo,2018,Organizing,"tardo, USA",Joseph Tardo,"tardo, USA",North America,,,male
Christina Vlachou,2018,Organizing,"HPE, USA",Christina Vlachou,"HPE, USA",North America,,,female
Antonio Fernandez Anta,2018,Organizing,"IMDEA, Spain",Antonio Fernandez Anta,"IMDEA, Spain",Europe,,,male
Jasleen Kaur,2018,Organizing,"UNC, USA",Jasleen Kaur,"UNC, USA",North America,Female,Female,unknown
Ignacio Castro,2018,Organizing,"QMUL, UK",Ignacio Castro,"QMUL, UK",Europe,Male,Male,male
Pin-Han Ho,2018,Organizing,"UWaterloo, Canada",Pin-Han Ho,"UWaterloo, Canada",North America,Male,Male,unknown
Henry Xu,2018,Organizing,"CityU, China",Henry Xu,"CityU, China",Asia,,,male
Bruce Maggs,2018,Organizing,"Duke and Akamai, USA",Bruce Maggs,"Duke and Akamai, USA",North America,Male,Male,male
Justine Sherry,2018,Organizing,"CMU, USA",Justine Sherry,"CMU, USA",North America,Male,Male,female
Steve Uhlig,2018,Organizing,"QMUL, UK",Steve Uhlig,"QMUL, UK",Europe,Male,Male,male
Jianping Wu,2019,Organizing,"Tsinghua University, China",Jianping Wu,"Tsinghua University, China",Asia,Male,Male,unknown
Wendy Hall,2019,Organizing,"University of Southampton, UK",Wendy Hall,"University of Southampton, UK",Europe,,,female
Yong Cui,2019,Organizing,"Tsinghua University, China",Yong Cui,"Tsinghua University, China",Asia,,,mostly_male
Xiangyang Li,2019,Organizing,"USTC, China",Xiangyang Li,"USTC, China",Asia,Male,Male,unknown
Katerina Argyraki,2019,Organizing,"EPFL, Switzerland",Katerina Argyraki,"EPFL, Switzerland",Europe,,Female,female
John Heidemann,2019,Organizing,"USC/ISI, USA",John Heidemann,"USC/ISI, USA",North America,,Male,male
Ashutosh Sabharwal,2019,Organizing,"Rice University, USA",Ashutosh Sabharwal,"Rice University, USA",North America,Male,Male,male
Lixin Gao,2019,Organizing,"UMass, USA",Lixin Gao,"UMass, USA",North America,Female,Female,unknown
Srinivasan Keshav,2019,Organizing,"University of Waterloo, Canada",Srinivasan Keshav,"University of Waterloo, Canada",North America,Male,Male,unknown
Lixia Zhang,2019,Organizing,"UCLA, USA",Lixia Zhang,"UCLA, USA",North America,Female,Female,unknown
Xiaoming Fu,2019,Organizing,"University of Goettingen, Germany",Xiaoming Fu,"University of Goettingen, Germany",Europe,,Male,unknown
Zhili Zhang,2019,Organizing,"UMN, USA",Zhili Zhang,"UMN, USA",North America,Male,Male,andy
Gaogang Xie,2019,Organizing,"ICT, China",Gaogang Xie,"ICT, China",Asia,Male,Male,unknown
Kai Chen,2019,Organizing,"HKUST, China",Kai Chen,"HKUST, China",Asia,,Male,male
JÃ¶rg Ott,2019,Organizing,"Technical University of Munich, Germany",Jaorg Ott,"Technical University of Munich, Germany",Europe,Male,Male,unknown
Ming Zhang,2019,Organizing,"Alibaba, USA",Ming Zhang,"Alibaba, USA",North America,Male,Male,andy
K. K. Ramakrishnan,2019,Organizing,"UC Riverside, USA",K. K. Ramakrishnan,"UC Riverside, USA",North America,Male,Male,unknown
Mingwei Xu,2019,Organizing,"Tsinghua University, China",Mingwei Xu,"Tsinghua University, China",Asia,Male,Male,unknown
Wei Bai,2019,Organizing,"Microsoft Research, Redmond",Wei Bai,"Microsoft Research, Redmond",North America,,Male,andy
Wenfei Wu,2019,Organizing,"Tsinghua University, China",Wenfei Wu,"Tsinghua University, China",Asia,Male,Male,unknown
Xia Yin,2019,Organizing,"Tsinghua University, China",Xia Yin,"Tsinghua University, China",Asia,Female,Female,andy
Xiaochun Yun,2019,Organizing,"CNCERT, China",Xiaochun Yun,"CNCERT, China",Asia,Male,Male,unknown
Deke Guo,2019,Organizing,"NUDT, China",Deke Guo,"NUDT, China",Asia,,,mostly_female
Chenren Xu,2019,Organizing,"Peking University, China",Chenren Xu,"Peking University, China",Asia,Male,Male,unknown
Ke Xu,2019,Organizing,"Tsinghua University, China",Ke Xu,"Tsinghua University, China",Asia,Male,Male,andy
Xiuzhen Cheng,2019,Organizing,"The George Washington University, USA",Xiuzhen Cheng,"The George Washington University, USA",North America,Female,Female,unknown
Paolo Costa,2019,Organizing,"Microsoft Research, UK",Paolo Costa,"Microsoft Research, UK",Europe,Male,Male,male
Yanyong Zhang,2019,Organizing,"USTC, China",Yanyong Zhang,"USTC, China",Asia,Female,Female,unknown
Lan Wang,2019,Organizing,"University of Memphis, USA",Lan Wang,"University of Memphis, USA",North America,Female,Female,andy
Hongqiang Liu,2019,Organizing,"Alibaba, USA",Hongqiang Liu,"Alibaba, USA",North America,,Male,unknown
Hongbin Luo,2019,Organizing,"BUAA, China",Hongbin Luo,"BUAA, China",Asia,Male,Male,unknown
Sheng Zhong,2019,Organizing,"Nanjing University, China",Sheng Zhong,"Nanjing University, China",Asia,Male,Male,andy
Yongqiang Xiong,2019,Organizing,"Microsoft Research, China",Yongqiang Xiong,"Microsoft Research, China",Asia,Male,Male,unknown
Keith Winstein,2019,Organizing,"Stanford University, USA",Keith Winstein,"Stanford University, USA",North America,Male,Male,male
Xin Jin,2019,Organizing,"Johns Hopkins University, USA",Xin Jin,"Johns Hopkins University, USA",North America,Male,Male,andy
Lili Qiu,2019,Organizing,"UT Austin, USA",Lili Qiu,"UT Austin, USA",North America,Female,Female,female
Huadong Ma,2019,Organizing,"BUPT, China",Huadong Ma,"BUPT, China",Asia,Male,Male,unknown
Dan Wang,2019,Organizing,"Hong Kong Polytechnic University, China",Dan Wang,"Hong Kong Polytechnic University, China",Asia,,,male
Timothy Wood,2019,Organizing,"The George Washington University, USA",Timothy Wood,"The George Washington University, USA",North America,,Male,male
Junzhou Luo,2019,Organizing,"Southeast University, China",Junzhou Luo,"Southeast University, China",Asia,Male,Male,unknown
Kui Ren,2019,Organizing,"Zhejiang University, China",Kui Ren,"Zhejiang University, China",Asia,Male,Male,andy
Kun Tan,2019,Organizing,"Huawei, China",Kun Tan,"Huawei, China",Asia,Male,Male,andy
Jiangchuan Liu,2019,Organizing,"Simon Fraser University, Canada",Jiangchuan Liu,"Simon Fraser University, Canada",North America,Male,Male,unknown
Steve Uhlig,2019,Organizing,"University of London, UK",Steve Uhlig,"University of London, UK",Europe,Male,Male,male
Vishal Misra,2020,Organizing,Columbia University,Vishal Misra,Columbia University,North America,Male,Male,unknown
Henning Schulzrinne,2020,Organizing,Columbia University,Henning Schulzrinne,Columbia University,North America,Male,Male,male
Sujata Banerjee,2020,Organizing,VMware Research,Sujata Banerjee,VMware Research,North America,Female,Female,female
Ratul Mahajan,2020,Organizing,"University of Washington, Intentionet",Ratul Mahajan,"University of Washington, Intentionet",North America,Male,Male,unknown
Laurent Vanbever,2020,Organizing,ETH Zurich,Laurent Vanbever,ETH Zurich,Europe,Male,Male,male
Stefano Vissicchio,2020,Organizing,University College London,Stefano Vissicchio,University College London,Europe,Male,Male,male
Manya Ghobadi,2020,Organizing,MIT,Manya Ghobadi,MIT,North America,Female,Female,female
Michael Schapira,2020,Organizing,Hebrew University of Jerusalem,Michael Schapira,Hebrew University of Jerusalem,Asia,Male,Male,male
Ihsan Ayyub Qazi,2020,Organizing,LUMS,Ihsan Ayyub Qazi,LUMS,Asia,Male,Male,male
Rachit Agarwal,2020,Organizing,Cornell University,Rachit Agarwal,Cornell University,North America,,Male,unknown
Jia Wang,2020,Organizing,AT&T Research Labs,Jia Wang,AT&T Research Labs,North America,Female,Female,andy
Ying Zhang,2020,Organizing,Facebook,Ying Zhang,Facebook,North America,Female,Female,andy
Fred Jiang,2020,Organizing,Columbia University,Fred Jiang,Columbia University,North America,,Male,male
Yong Liu,2020,Organizing,NYU,Yong Liu,NYU,North America,,,mostly_male
Srinivas Narayana,2020,Organizing,Rutgers University,Srinivas Narayana,Rutgers University,North America,Male,Male,male
Anees Shaikh,2020,Organizing,Google,Anees Shaikh,Google,North America,Male,Male,unknown
Ethan Katz-Bassett,2020,Organizing,Columbia University,Ethan Katz-Bassett,Columbia University,North America,Male,Male,male
Aruna Balasubramanian,2020,Organizing,Stony Brook University,Aruna Balasubramanian,Stony Brook University,North America,Female,Female,female
Ravi Netravali,2020,Organizing,University of California at Los Angeles,Ravi Netravali,University of California at Los Angeles,North America,Male,Male,mostly_male
Richard Ma,2020,Organizing,NUS,Richard Ma,NUS,Asia,,,male
Aurojit Panda,2020,Organizing,NYU,Aurojit Panda,NYU,North America,Male,Male,unknown
Mina Tashmabi Arashloo,2020,Organizing,Cornell University,Mina Tashmabi Arashloo,Cornell University,North America,,Female,female
Arpit Gupta,2020,Organizing,UCSB,Arpit Gupta,UCSB,North America,Male,Male,unknown
Gautam Kumar,2020,Organizing,Google,Gautam Kumar,Google,North America,Male,Male,male
Matthew Caesar,2020,Organizing,University of Illinois at Urbana-Champaign,Matthew Caesar,University of Illinois at Urbana-Champaign,North America,,Male,male
Fernando Kuipers,2021,Organizing,Delft University of Technology,Fernando Kuipers,Delft University of Technology,Europe,Male,Male,male
Matthew Caesar,2021,Organizing,University of Illinois at Urbana-Champaign,Matthew Caesar,University of Illinois at Urbana-Champaign,North America,,Male,male
Aditya Akella,2021,Organizing,University of WisconsinâMadison,Aditya Akella,University of WisconsinâMadison,North America,Male,Male,male
Nandita Dukkipati,2021,Organizing,Google,Nandita Dukkipati,Google,North America,Female,Female,female
JÃ¶rg Ott,2021,Organizing,Technische UniversitÃ¤t MÃ¼nchen,Jaorg Ott,Technische UniversitÃ¤t MÃ¼nchen,Europe,Male,Male,unknown
Zhi-Li Zhang,2021,Organizing,University of Minnesota,Zhi-Li Zhang,University of Minnesota,North America,Male,Male,andy
Danny Raz,2021,Organizing,Technion & Google,Danny Raz,Technion & Google,Asia,Male,Male,male
Yang Chen,2021,Organizing,Fudan University,Yang Chen,Fudan University,North America,,Male,andy
Gabor Retvari,2021,Organizing,Budapest University of Technology and Economics,Gabor Retvari,Budapest University of Technology and Economics,Europe,Male,Male,unknown
Aaron Ding,2021,Organizing,Delft University of Technology,Aaron Ding,Delft University of Technology,Europe,,Male,male
Ram Durairajan,2021,Organizing,University of Oregon,Ram Durairajan,University of Oregon,North America,,,male
Dave Choffnes,2021,Organizing,Northeastern University,Dave Choffnes,Northeastern University,North America,,,male
Athina Markopoulou,2021,Organizing,UC Irvine,Athina Markopoulou,UC Irvine,North America,Female,Female,female
Marco Chiesa,2021,Organizing,KTH Royal Institute of Technology,Marco Chiesa,KTH Royal Institute of Technology,Europe,Male,Male,male
Marinho Barcellos,2021,Organizing,University of Waikato,Marinho Barcellos,University of Waikato,Australia,,Female,unknown
Pan Hui,2021,Organizing,Hong Kong University of Science and Technology,Pan Hui,Hong Kong University of Science and Technology,Asia,Male,Male,andy
Ellen Zegura,2021,Organizing,Georgia Tech,Ellen Zegura,Georgia Tech,North America,,Female,female
Tilman Wolf,2021,Organizing,University of Massachusetts Amherst,Tilman Wolf,University of Massachusetts Amherst,North America,Male,Male,male
Michael Schapira,2021,Organizing,Hebrew University of Jerusalem,Michael Schapira,Hebrew University of Jerusalem,Asia,Male,Male,male
Christian Doerr,2021,Organizing,University of Potsdam,Christian Doerr,University of Potsdam,Europe,,,male
Roland van Rijswijk-Deij,2021,Organizing,University of Twente,Roland van Rijswijk-Deij,University of Twente,Europe,Male,Male,male
Pedro Casas,2021,Organizing,Austrian Institute of Technology,Pedro Casas,Austrian Institute of Technology,Europe,Male,Male,male
Christian Esteve Rothenberg,2021,Organizing,University of Campinas,Christian Esteve Rothenberg,University of Campinas,South America,Male,Male,male
Chenren Xu,2021,Organizing,Peking University,Chenren Xu,Peking University,Asia,Male,Male,unknown
"Taejoong ""Tijay"" Chung",2021,Organizing,Virginia Tech,"Taejoong ""Tijay"" Chung",Virginia Tech,North America,,Male,unknown
Qing Wang,2021,Organizing,Delft University of Technology,Qing Wang,Delft University of Technology,Europe,,Male,andy
Paola Grosso,2021,Organizing,University of Amsterdam,Paola Grosso,University of Amsterdam,Europe,,,female
Karin Anna Hummel,2021,Organizing,Johannes Kepler University Linz,Karin Anna Hummel,Johannes Kepler University Linz,Europe,Female,Female,female
Andra Lutu,2021,Organizing,Telefonica Research,Andra Lutu,Telefonica Research,Europe,Female,Female,female
Hamed Haddadi,2021,Organizing,Imperial College London,Hamed Haddadi,Imperial College London,Europe,Male,Male,male
Dave Levin,2021,Organizing,University of Maryland,Dave Levin,University of Maryland,North America,Male,Male,male
Fernando Kuipers,2022,Organizing,Delft University of Technology,Fernando Kuipers,Delft University of Technology,Europe,Male,Male,male
Ariel Orda,2022,Organizing,Technion Israel Institute of Technology,Ariel Orda,Technion Israel Institute of Technology,Asia,Male,Male,male
Brighten Godfrey,2022,Organizing,University of Illinois at Urbana-Champaign,Brighten Godfrey,University of Illinois at Urbana-Champaign,North America,,Male,unknown
Bruce Maggs,2022,Organizing,Duke University and Emerald Innovations,Bruce Maggs,Duke University and Emerald Innovations,North America,Male,Male,male
Sergey Gorinsky,2022,Organizing,IMDEA Networks Institute,Sergey Gorinsky,IMDEA Networks Institute,Europe,Male,Male,male
Anat Bremler-Barr,2022,Organizing,Reichman University,Anat Bremler-Barr,Reichman University,Asia,Female,Female,female
Zhi-Li Zhang,2022,Organizing,University of Minnesota,Zhi-Li Zhang,University of Minnesota,North America,Male,Male,andy
Yang Chen,2022,Organizing,Fudan University,Yang Chen,Fudan University,North America,,Male,andy
Gabor Retvari,2022,Organizing,Budapest University of Technology and Economics & Ericsson Research,Gabor Retvari,Budapest University of Technology and Economics & Ericsson Research,Europe,Male,Male,unknown
Danny Raz,2022,Organizing,Technion Israel Institute of Technology,Danny Raz,Technion Israel Institute of Technology,Asia,Male,Male,male
Alex Sprintson,2022,Organizing,Texas A&M University,Alex Sprintson,Texas A&M University,North America,,,male
Ignacio Castro,2022,Organizing,Queen Mary University of London,Ignacio Castro,Queen Mary University of London,Europe,Male,Male,male
Gareth Tyson,2022,Organizing,Hong Kong University of Science and Technology,Gareth Tyson,Hong Kong University of Science and Technology,Europe,Male,Male,male
Marco Chiesa,2022,Organizing,KTH Royal Institute of Technology,Marco Chiesa,KTH Royal Institute of Technology,Europe,Male,Male,male
Karin Anna Hummel,2022,Organizing,Johannes Kepler University Linz,Karin Anna Hummel,Johannes Kepler University Linz,Europe,Female,Female,female
Tilman Wolf,2022,Organizing,University of Massachusetts Amherst,Tilman Wolf,University of Massachusetts Amherst,North America,Male,Male,male
Michael Schapira,2022,Organizing,Hebrew University of Jerusalem,Michael Schapira,Hebrew University of Jerusalem,Asia,Male,Male,male
Qing Wang,2022,Organizing,Delft University of Technology,Qing Wang,Delft University of Technology,Europe,,Male,andy
Andra Lutu,2022,Organizing,Telefonica Research,Andra Lutu,Telefonica Research,Europe,Female,Female,female
Matthew Caesar,2022,Organizing,University of Illinois at Urbana-Champaign,Matthew Caesar,University of Illinois at Urbana-Champaign,North America,,Male,male
Pan Hui,2022,Organizing,Hong Kong University of Science and Technology,Pan Hui,Hong Kong University of Science and Technology,Asia,Male,Male,andy
Aaron Ding,2022,Organizing,Delft University of Technology,Aaron Ding,Delft University of Technology,Europe,,Male,male
Pedro Casas,2022,Organizing,AIT Austrian Institute of Technology,Pedro Casas,AIT Austrian Institute of Technology,Europe,Male,Male,male
Christian Esteve Rothenberg,2022,Organizing,University of Campinas,Christian Esteve Rothenberg,University of Campinas,South America,Male,Male,male
Fernando Ramos,2022,Organizing,University of Lisbon,Fernando Ramos,University of Lisbon,Europe,Male,Male,male
"Taejoong ""Tijay"" Chung",2022,Organizing,Virginia Tech,"Taejoong ""Tijay"" Chung",Virginia Tech,North America,,Male,unknown
Lin Wang,2022,Organizing,Vrije Universiteit Amsterdam,Lin Wang,Vrije Universiteit Amsterdam,Europe,,,female
Paola Grosso,2022,Organizing,University of Amsterdam,Paola Grosso,University of Amsterdam,Europe,,,female
Yiting Xia,2022,Organizing,Max Planck Institute for Informatics,Yiting Xia,Max Planck Institute for Informatics,Europe,Female,Female,unknown
Mina Tahmasbi Arashloo,2022,Organizing,University of Waterloo,Mina Tahmasbi Arashloo,University of Waterloo,North America,Female,Female,female
Chen Qian,2022,Organizing,University of California Santa Cruz,Chen Qian,University of California Santa Cruz,North America,Male,Male,andy
Jasleen Kaur,2022,Organizing,University of North Carolina at Chapel Hill,Jasleen Kaur,University of North Carolina at Chapel Hill,North America,Female,Female,unknown
Vishal Misra,2023,Organizing,Columbia University,Vishal Misra,Columbia University,North America,Male,Male,unknown
Henning Schulzrinne,2023,Organizing,Columbia University,Henning Schulzrinne,Columbia University,North America,Male,Male,male
Eddie Kohler,2023,Organizing,Harvard University,Eddie Kohler,Harvard University,North America,Male,Male,male
David Maltz,2023,Organizing,Microsoft,David Maltz,Microsoft,North America,Male,Male,male
Lin Wang,2023,Organizing,Vrije Universiteit Amsterdam,Lin Wang,Vrije Universiteit Amsterdam,Europe,,,female
Emmanouil Vasilomanolakis,2023,Organizing,Technical University of Denmark,Emmanouil Vasilomanolakis,Technical University of Denmark,Europe,,,male
Dan Rubenstein,2023,Organizing,Columbia University,Dan Rubenstein,Columbia University,North America,Male,Male,male
Aaron Ding,2023,Organizing,Delft University of Technology,Aaron Ding,Delft University of Technology,Europe,,Male,male
Kostis Kaffes,2023,Organizing,Stanford University,Kostis Kaffes,Stanford University,North America,Male,Male,unknown
Timothy Wood,2023,Organizing,George Washington University,Timothy Wood,George Washington University,North America,,Male,male
Sangeetha Abdu Jyothi,2023,Organizing,"University of California, Irvine",Sangeetha Abdu Jyothi,"University of California, Irvine",North America,Female,Female,unknown
Ethan Katz-Bassett,2023,Organizing,Columbia University,Ethan Katz-Bassett,Columbia University,North America,Male,Male,male
Todd Arnold,2023,Organizing,U.S. Military Academy at West Point,Todd Arnold,U.S. Military Academy at West Point,North America,Male,Male,male
Matt Calder,2023,Organizing,Columbia University & Meta,Matt Calder,Columbia University & Meta,North America,Male,Male,male
Xiaofan (Fred) Jiang,2023,Organizing,Columbia University,Xiaofan (Fred) Jiang,Columbia University,North America,Male,Male,unknown
Joerg Ott,2023,Organizing,"Technical University of Munich, Germany",Joerg Ott,"Technical University of Munich, Germany",Europe,Male,Male,unknown
Minmei Wang,2023,Organizing,University of Connecticut,Minmei Wang,University of Connecticut,North America,Female,Female,unknown
Zihui Ge,2023,Organizing,AT&T Research,Zihui Ge,AT&T Research,North America,Male,Male,unknown
Jia Wang,2023,Organizing,AT&T Labs,Jia Wang,AT&T Labs,North America,Female,Female,andy
Maria Apostolaki,2023,Organizing,Princeton University,Maria Apostolaki,Princeton University,North America,Female,Female,female
Vishal Shrivastav,2023,Organizing,Purdue University,Vishal Shrivastav,Purdue University,North America,Male,Male,unknown
Lachlan Andrew,2023,Organizing,University of Melbourne,Lachlan Andrew,University of Melbourne,Australia,,Male,male
Xia Zhou,2023,Organizing,Columbia University,Xia Zhou,Columbia University,North America,Female,Female,andy
Tianbai Ma,2023,Organizing,NUS (Singapore),Tianbai Ma,NUS (Singapore),Asia,Male,Male,unknown
Feng Qian,2023,Organizing,University of Minnesota,Feng Qian,University of Minnesota,North America,Male,Male,andy
Dina Papagiannaki,2009,Program,"Intel Research, USA",Dina Papagiannaki,"Intel Research, USA",North America,Female,Female,female
Luigi Rizzo,2009,Program,"Universit� di Pisa, Italy",Luigi Rizzo,"Universit di Pisa, Italy",Europe,Male,Male,male
David Andersen,2009,Program,"Carnegie Mellon University, USA",David Andersen,"Carnegie Mellon University, USA",North America,Male,Male,male
Suman Banerjee,2009,Program,"University of Wisconsin, Madison, USA",Suman Banerjee,"University of Wisconsin, Madison, USA",North America,Male,Male,mostly_female
Ranjita Bhagwan,2009,Program,Microsoft Research India,Ranjita Bhagwan,Microsoft Research India,Asia,Female,Female,unknown
Augustin Chaintreau,2009,Program,"Thomson, France",Augustin Chaintreau,"Thomson, France",Europe,Male,Male,male
Ranveer Chandra,2009,Program,"Microsoft Research, USA",Ranveer Chandra,"Microsoft Research, USA",North America,Male,Male,unknown
Dah Ming Chiu,2009,Program,"The Chinese University of Hong Kong, China",Dah Ming Chiu,"The Chinese University of Hong Kong, China",Asia,Male,Male,unknown
Kenjiro Cho,2009,Program,"IIJ, Japan",Kenjiro Cho,"IIJ, Japan",Asia,Male,Male,male
Chen-Nee Chuah,2009,Program,"UC Davis, USA",Chen-Nee Chuah,"UC Davis, USA",North America,Female,Female,unknown
Jon Crowcroft,2009,Program,"University of Cambridge, UK",Jon Crowcroft,"University of Cambridge, UK",Europe,Male,Male,male
Saumitra Das,2009,Program,"Qualcomm Inc., USA",Saumitra Das,"Qualcomm Inc., USA",North America,Male,Male,unknown
Christophe Diot,2009,Program,"Thomson, France",Christophe Diot,"Thomson, France",Europe,Male,Male,male
Anja Feldmann,2009,Program,"Deutsche Telekom Laboratories / TU-Berlin, Germany",Anja Feldmann,"Deutsche Telekom Laboratories / TU-Berlin, Germany",Europe,Female,Female,female
Roch Guerin,2009,Program,"University of Pennsylvania, USA",Roch Guerin,"University of Pennsylvania, USA",North America,,Male,male
Krishna Gummadi,2009,Program,"MPI-SWS, Germany",Krishna Gummadi,"MPI-SWS, Germany",Europe,,Male,andy
Per Gunningberg,2009,Program,"Uppsala University, Sweden",Per Gunningberg,"Uppsala University, Sweden",Europe,,,male
Gianluca Iannaccone,2009,Program,"Intel Research Berkeley, USA",Gianluca Iannaccone,"Intel Research Berkeley, USA",North America,Male,Male,male
Kyle Jamieson,2009,Program,"University College London, UK",Kyle Jamieson,"University College London, UK",Europe,Male,Male,mostly_female
Thomas Karagiannis,2009,Program,"Microsoft Research, UK",Thomas Karagiannis,"Microsoft Research, UK",Europe,Male,Male,male
Brad Karp,2009,Program,"University College London, UK",Brad Karp,"University College London, UK",Europe,Male,Male,male
Dina Katabi,2009,Program,"MIT, USA",Dina Katabi,"MIT, USA",North America,Female,Female,female
S Keshav,2009,Program,"University of Waterloo, Canada",S Keshav,"University of Waterloo, Canada",North America,Male,Male,unknown
Eddie Kohler,2009,Program,"Meraki, Inc. / UCLA, USA",Eddie Kohler,"Meraki, Inc. / UCLA, USA",North America,Male,Male,male
Dmitri Krioukov,2009,Program,"CAIDA/UCSD San Diego, USA",Dmitri Krioukov,"CAIDA/UCSD San Diego, USA",North America,,,male
Sam Leffler,2009,Program,Google,Sam Leffler,Google,North America,,,mostly_male
Ratul Mahajan,2009,Program,"Microsoft Research, USA",Ratul Mahajan,"Microsoft Research, USA",North America,Male,Male,unknown
David Malone,2009,Program,"Hamilton Institute, NUI Maynooth, Ireland",David Malone,"Hamilton Institute, NUI Maynooth, Ireland",Europe,Male,Male,male
David Maltz,2009,Program,"Microsoft Research, USA",David Maltz,"Microsoft Research, USA",North America,Male,Male,male
Morley Mao,2009,Program,"University of Michigan, USA",Morley Mao,"University of Michigan, USA",North America,,Female,unknown
Laurent Mathy,2009,Program,"Lancaster University, UK",Laurent Mathy,"Lancaster University, UK",Europe,Male,Male,male
David Mazieres,2009,Program,"Stanford, USA",David Mazieres,"Stanford, USA",North America,,Male,male
Marco Mellia,2009,Program,"Politecnico di Torino, Italy",Marco Mellia,"Politecnico di Torino, Italy",Europe,Male,Male,male
Michael Mitzenmacher,2009,Program,"Harvard University, USA",Michael Mitzenmacher,"Harvard University, USA",North America,Male,Male,male
Refik Molva,2009,Program,"EURECOM, France",Refik Molva,"EURECOM, France",Europe,,,male
Vivek Pai,2009,Program,"Princeton University, USA",Vivek Pai,"Princeton University, USA",North America,,,male
Christos Papadopoulos,2009,Program,"Colorado State University, USA",Christos Papadopoulos,"Colorado State University, USA",North America,,,male
Craig Partridge,2009,Program,"BBN Technologies, USA",Craig Partridge,"BBN Technologies, USA",North America,Male,Male,male
