name,year,committee,region,cleanedName,cleanedRegion,Continent,DirectMatch,FuzzyMatch,ApproximateDoctoralGradYear
George Porter,2015,Program,"UC San Diego CSE, USA",George Porter,"UC San Diego CSE, USA",North America,Male,Male,2008
Luigi Rizzo,2015,Program,"Università di Pisa, Italy, USA",Luigi Rizzo,"Università di Pisa, Italy, USA",North America,Male,Male,1998
Ashutosh Sabharwal,2015,Program,"Rice University, USA",Ashutosh Sabharwal,"Rice University, USA",North America,Male,Male,1999
Stefan Savage,2015,Program,"UC San Diego CSE, USA",Stefan Savage,"UC San Diego CSE, USA",North America,Male,Male,2001
Michael Schapira,2015,Program,"Hebrew University, Israel",Michael Schapira,"Hebrew University, Israel",Asia,Male,Male,2008
Vyas Sekar,2015,Program,"Carnegie Mellon University, USA",Vyas Sekar,"Carnegie Mellon University, USA",North America,Male,Male,2010
Kun Tan,2015,Program,"Microsoft Research, Asia",Kun Tan,"Microsoft Research, Asia",North America,Male,Male,?
Pramod Viswanath,2015,Program,"UIUC, USA",Pramod Viswanath,"UIUC, USA",North America,,Male,2000
Geoff Voelker,2015,Program,"UC San Diego CSE, USA",Geoff Voelker,"UC San Diego CSE, USA",North America,Male,Male,2000
Michael Walfish,2015,Program,"NYU, USA",Michael Walfish,"NYU, USA",North America,Male,Male,2008
Jia Wang,2015,Program,"AT&T Research, USA",Jia Wang,"AT&T Research, USA",North America,Female,Female,2001
Philip Watts,2015,Program,"University College London, UK",Philip Watts,"University College London, UK",Europe,,Male,2008
David Wetherall,2015,Program,"Google and Univ. of Washington, USA",David Wetherall,"Google and Univ. of Washington, USA",North America,Male,Male,1998
Walter Willinger,2015,Program,"Niksun, USA",Walter Willinger,"Niksun, USA",North America,Male,Male,1987
Keith Winstein,2015,Program,"Stanford University, USA",Keith Winstein,"Stanford University, USA",North America,Male,Male,2014
Xiaowei Yang,2015,Program,"Duke University, USA",Xiaowei Yang,"Duke University, USA",North America,Female,Female,2004
Minlan Yu,2015,Program,"University of Southern California, USA",Minlan Yu,"University of Southern California, USA",North America,Female,Female,2011
Ming Zhang,2015,Program,"Microsoft Research, USA",Ming Zhang,"Microsoft Research, USA",North America,Male,Male,2005
Lin Zhong,2015,Program,"Rice University, USA",Lin Zhong,"Rice University, USA",North America,Male,Male,2005
Amin Vahdat,2016,Program,"UCSD and Google, USA",Amin Vahdat,"UCSD and Google, USA",North America,Male,Male,1998
Sachin Katti,2016,Program,"Stanford University, USA",Sachin Katti,"Stanford University, USA",North America,Male,Male,2008
Aditya Akella,2016,Program,"University of Wisconsin Madison, USA",Aditya Akella,"University of Wisconsin Madison, USA",North America,Male,Male,2005
Mohammad Alizadeh,2016,Program,"MIT, USA",Mohammad Alizadeh,"MIT, USA",North America,Male,Male,2013
Katerina Argyraki,2016,Program,"EPFL, Switzerland",Katerina Argyraki,"EPFL, Switzerland",Europe,,Female,2007
Hari Balakrishnan,2016,Program,"MIT, USA",Hari Balakrishnan,"MIT, USA",North America,Male,Male,1998
Hitesh Ballani,2016,Program,"Microsoft, UK",Hitesh Ballani,"Microsoft, UK",Europe,Male,Male,2009
Sujata Banerjee,2016,Program,"HP Labs, USA",Sujata Banerjee,"HP Labs, USA",North America,Female,Female,1993
Suman Banerjee,2016,Program,"University of Wisconsin Madison, USA",Suman Banerjee,"University of Wisconsin Madison, USA",North America,Male,Male,2003
Theo Benson,2016,Program,"Duke University, USA",Theo Benson,"Duke University, USA",North America,Male,Male,2012
Ranjita Bhagwan,2016,Program,"Microsoft, India",Ranjita Bhagwan,"Microsoft, India",Asia,Female,Female,2004
Fabián Bustamante,2016,Program,"Northwestern University, USA",Fabián Bustamante,"Northwestern University, USA",North America,,Male,2001
Nandita Dukkipati,2016,Program,"Google, USA",Nandita Dukkipati,"Google, USA",North America,Female,Female,2007
Nick Feamster,2016,Program,"Princeton University, USA",Nick Feamster,"Princeton University, USA",North America,Male,Male,2005
Nate Foster,2016,Program,"Cornell University, USA",Nate Foster,"Cornell University, USA",North America,Male,Male,2009
Deepak Ganesan,2016,Program,"University of Massachusetts Amherst, USA",Deepak Ganesan,"University of Massachusetts Amherst, USA",North America,Male,Male,2004
Yashar Ganjali,2016,Program,"University of Toronto, Canada",Yashar Ganjali,"University of Toronto, Canada",North America,Male,Male,2006
Phillipa Gill,2016,Program,"Stony Broook University, USA",Phillipa Gill,"Stony Broook University, USA",North America,Female,Female,2012
Sergey Gorisnky,2016,Program,"IMDEA Networks Institute, Spain",Sergey Gorisnky,"IMDEA Networks Institute, Spain",Europe,,Male,2003
Ramesh Govindan,2016,Program,"University of Southern California, USA",Ramesh Govindan,"University of Southern California, USA",North America,Male,Male,1992
Mark Handley,2016,Program,"University College London, UK",Mark Handley,"University College London, UK",Europe,Male,Male,1997
Srikanth Kandula,2016,Program,"Microsoft, USA",Srikanth Kandula,"Microsoft, USA",North America,Male,Male,2008
Brad Karp,2016,Program,"University College London, UK",Brad Karp,"University College London, UK",Europe,Male,Male,2000
Ethan Katz-Bassett,2016,Program,"University of Southern California, USA",Ethan Katz-Bassett,"University of Southern California, USA",North America,Male,Male,2012
Teemu Koponen,2016,Program,"VMWare, USA",Teemu Koponen,"VMWare, USA",North America,Male,Male,2008
Swarun Kumar,2016,Program,"Carnegie Mellon University, USA",Swarun Kumar,"Carnegie Mellon University, USA",North America,Male,Male,2015
Alex Liu,2016,Program,"Michigan State University, USA",Alex Liu,"Michigan State University, USA",North America,Male,Male,2006
Harsha Madhyastha,2016,Program,"University of Michigan, USA",Harsha Madhyastha,"University of Michigan, USA",North America,,Male,2008
Bruce Maggs,2016,Program,"Duke University, USA",Bruce Maggs,"Duke University, USA",North America,Male,Male,1989
Ratul Mahajan,2016,Program,"Microsoft, USA",Ratul Mahajan,"Microsoft, USA",North America,Male,Male,2005
Vishal Misra,2016,Program,"Columbia University, USA",Vishal Misra,"Columbia University, USA",North America,Male,Male,2000
Michael Mitzenmacher,2016,Program,"Harvard University, USA",Michael Mitzenmacher,"Harvard University, USA",North America,Male,Male,1996
Jeff Mogul,2016,Program,"Google, USA",Jeff Mogul,"Google, USA",North America,Male,Male,1986
Andrew Moore,2016,Program,"University of Cambridge, UK",Andrew Moore,"University of Cambridge, UK",Europe,Male,Male,2001
Radhika Niranjan Mysore,2016,Program,"Google, USA",Radhika Niranjan Mysore,"Google, USA",North America,Female,Female,2013
Dave Oran,2016,Program,"Cisco, USA",Dave Oran,"Cisco, USA",North America,,Male,?
Venkat Padmanabhan,2016,Program,"Microsoft, India",Venkat Padmanabhan,"Microsoft, India",Asia,,Male,1998
George Papen,2016,Program,"UC San Diego, USA",George Papen,"UC San Diego, USA",North America,Male,Male,1989
KyoungSoo Park,2016,Program,"KAIST, Korea",KyoungSoo Park,"KAIST, Korea",Asia,Male,Male,2007
Adrian Perrig,2016,Program,"ETH Zurich, Switzerland",Adrian Perrig,"ETH Zurich, Switzerland",Europe,Male,Male,2001
Sylvia Ratnasamy,2016,Program,"UC Berkeley, USA",Sylvia Ratnasamy,"UC Berkeley, USA",North America,Female,Female,2002
Vyas Sekar,2016,Program,"Carnegie Mellon University, USA",Vyas Sekar,"Carnegie Mellon University, USA",North America,Male,Male,2010
Scott Shenker,2016,Program,"UC Berkeley, USA",Scott Shenker,"UC Berkeley, USA",North America,Male,Male,1983
Ankit Singla,2016,Program,"ETH Zurich, Switzerland",Ankit Singla,"ETH Zurich, Switzerland",Europe,Male,Male,2015
Joshua Smith,2016,Program,"University of Washington, USA",Joshua Smith,"University of Washington, USA",North America,Male,Male,1999
Alex Snoeren,2016,Program,"UC San Diego, USA",Alex Snoeren,"UC San Diego, USA",North America,,Male,2002
Ion Stoica,2016,Program,"UC Berkeley, USA",Ion Stoica,"UC Berkeley, USA",North America,Male,Male,2000
Pramod Vishwanath,2016,Program,"University of Illinois Urbana-Champaign , USA",Pramod Vishwanath,"University of Illinois Urbana-Champaign , USA",North America,Male,Male,2000
Geoff Voelker,2016,Program,"UC San Diego, USA",Geoff Voelker,"UC San Diego, USA",North America,Male,Male,2000
Philip Watts,2016,Program,"University College London, UK",Philip Watts,"University College London, UK",Europe,,Male,2008
David Wetherall,2016,Program,"Google & University of Washington, USA",David Wetherall,"Google & University of Washington, USA",North America,Male,Male,1998
Keith Winstein,2016,Program,"Stanford University, USA",Keith Winstein,"Stanford University, USA",North America,Male,Male,2014
Minlan Yu,2016,Program,"University of Southern California, USA",Minlan Yu,"University of Southern California, USA",North America,Female,Female,2011
Matei Zaharia,2016,Program,"MIT, USA",Matei Zaharia,"MIT, USA",North America,Male,Male,2013
Ellen Zegura,2016,Program,"Georgia Tech, USA",Ellen Zegura,"Georgia Tech, USA",North America,,Female,1993
Ming Zhang,2016,Program,"Alibaba Group, USA",Ming Zhang,"Alibaba Group, USA",North America,Male,Male,2005
Alex C. Snoeren,2017,Program,UC San Diego,Alex C. Snoeren,UC San Diego,North America,Male,Male,2002
Walter Willinger,2017,Program,"NIKSUN, Inc.",Walter Willinger,"NIKSUN, Inc.",North America,Male,Male,1987
Mohammad Alizadeh,2017,Program,MIT,Mohammad Alizadeh,MIT,North America,Male,Male,2013
Sujata Banerjee,2017,Program,VMware,Sujata Banerjee,VMware,North America,Female,Female,1993
Suman Banerjee,2017,Program,University of Wisconsin - Madison,Suman Banerjee,University of Wisconsin - Madison,North America,Male,Male,2003
Theo Benson,2017,Program,Duke University,Theo Benson,Duke University,North America,Male,Male,2012
John W. Byers,2017,Program,Boston University,John W. Byers,Boston University,North America,Male,Male,1997
Marco Canini,2017,Program,KAUST,Marco Canini,KAUST,Asia,Male,Male,2009
Ranveer Chandra,2017,Program,Microsoft Research,Ranveer Chandra,Microsoft Research,North America,Male,Male,2005
David Choffnes,2017,Program,Northeastern University,David Choffnes,Northeastern University,North America,Male,Male,2010
Mosharaf Chowdhury,2017,Program,University of Michigan,Mosharaf Chowdhury,University of Michigan,North America,Male,Male,2015
