name,year,committee,region,cleanedName,cleanedRegion,Continent,DirectMatch,FuzzyMatch,ApproximateDoctoralGradYear
Kenjiro Cho,2011,Organizing,"IIJ Research Laboratory, Japan",Kenjiro Cho,"IIJ Research Laboratory, Japan",Asia,Male,Male,2001
Arun Venkataramani,2011,Organizing,"University of Massachusetts, USA",Arun Venkataramani,"University of Massachusetts, USA",North America,Male,Male,2004
Giorgio Ventre,2011,Organizing,"University of Napoli, Italy",Giorgio Ventre,"University of Napoli, Italy",Europe,Male,Male,1989
Georgios Smaragdakis,2011,Organizing,"Deutsche Telekom Labs & TU Berlin, Germany",Georgios Smaragdakis,"Deutsche Telekom Labs & TU Berlin, Germany",Europe,Male,Male,2009
Stefan Saroiu,2011,Organizing,Microsoft Research,Stefan Saroiu,Microsoft Research,North America,Male,Male,2004
Jaudelice de Oliveira,2011,Organizing,"Drexel University, USA",Jaudelice de Oliveira,"Drexel University, USA",North America,Female,Female,2003
Lars Eggert,2012,Organizing,"NetApp, Germany",Lars Eggert,"NetApp, Germany",Europe,Male,Male,2003
Jaorg Ott,2012,Organizing,"Aalto University, Finland",Jaorg Ott,"Aalto University, Finland",Europe,Male,Male,1997
Venkat Padmanabhan,2012,Organizing,"Microsoft Research, India",Venkat Padmanabhan,"Microsoft Research, India",Asia,,Male,1998
George Varghese,2012,Organizing,"UCSD, USA",George Varghese,"UCSD, USA",North America,Male,Male,1992
Jussi Kangasharju,2012,Organizing,"University of Helsinki, Finland",Jussi Kangasharju,"University of Helsinki, Finland",Europe,Male,Male,2002
Jukka Manner,2012,Organizing,"Aalto University, Finland",Jukka Manner,"Aalto University, Finland",Europe,Male,Male,2004
Joe Touch,2012,Organizing,"USC/ISI, USA",Joe Touch,"USC/ISI, USA",North America,Male,Male,1992
Dina Katabi,2012,Organizing,"MIT, USA",Dina Katabi,"MIT, USA",North America,Female,Female,2003
Jitendra Padhye,2012,Organizing,"Microsoft Research, USA",Jitendra Padhye,"Microsoft Research, USA",North America,Male,Male,2000
Kevin Almeroth,2012,Organizing,"University of California, Santa Barbara, USA",Kevin Almeroth,"University of California, Santa Barbara, USA",North America,,Male,1997
Colin Perkins,2012,Organizing,"University of Glasgow, UK",Colin Perkins,"University of Glasgow, UK",Europe,Male,Male,1996
Andrea Passarella,2012,Organizing,"CNR IIT, Italy",Andrea Passarella,"CNR IIT, Italy",Europe,Male,Male,2005
Ryuji Wakikawa,2012,Organizing,"Toyota ITC, USA/Japan",Ryuji Wakikawa,"Toyota ITC, USA/Japan",Asia,Male,Male,2003
Marcelo Bagnulo,2012,Organizing,"Universidad Carlos III de Madrid, Spain",Marcelo Bagnulo,"Universidad Carlos III de Madrid, Spain",Europe,Male,Male,2005
Polly Huang,2012,Organizing,"National Taiwan University, Taiwan",Polly Huang,"National Taiwan University, Taiwan",Asia,Female,Female,1999
Sharon Goldberg,2012,Organizing,"Boston University, USA",Sharon Goldberg,"Boston University, USA",North America,Female,Female,2009
Liang Wang,2012,Organizing,"University of Helsinki, Finland",Liang Wang,"University of Helsinki, Finland",Europe,Male,Male,2014
Jaudelice de Oliveira,2012,Organizing,"Drexel University, USA",Jaudelice de Oliveira,"Drexel University, USA",North America,Female,Female,2003
Dah Ming Chiu,2013,Organizing,"The Chinese University of Hong Kong, China",Dah Ming Chiu,"The Chinese University of Hong Kong, China",Asia,Male,Male,1980
Jia Wang,2013,Organizing,"AT&T Labs - Research, USA",Jia Wang,"AT&T Labs - Research, USA",North America,Female,Female,2001
Paul Barford,2013,Organizing,"University of Wisconsin, USA",Paul Barford,"University of Wisconsin, USA",North America,Male,Male,2000
Srinivasan Seshan,2013,Organizing,"Carnegie Mellon University, USA",Srinivasan Seshan,"Carnegie Mellon University, USA",North America,Male,Male,1995
Xiaohua Jia,2013,Organizing,"City University of Hong Kong, China",Xiaohua Jia,"City University of Hong Kong, China",Asia,Male,Male,1991
Patrick P. C. Lee,2013,Organizing,"The Chinese University of Hong Kong, China",Patrick P. C. Lee,"The Chinese University of Hong Kong, China",Asia,Male,Male,2008
Wing Cheong Lau,2013,Organizing,"The Chinese University of Hong Kong, China",Wing Cheong Lau,"The Chinese University of Hong Kong, China",Asia,Male,Male,1995
Aditya Akella,2013,Organizing,"University of Wisconsin, USA",Aditya Akella,"University of Wisconsin, USA",North America,Male,Male,2005
Ratul Mahajan,2013,Organizing,"Microsoft Research, USA",Ratul Mahajan,"Microsoft Research, USA",North America,Male,Male,2005
Lili Qiu,2013,Organizing,"University of Texas, USA",Lili Qiu,"University of Texas, USA",North America,Female,Female,2001
Helen Wang,2013,Organizing,"Microsoft Research, USA",Helen Wang,"Microsoft Research, USA",North America,Female,Female,2001
Nick Feamster,2013,Organizing,"Georgia Institute of Technology, USA",Nick Feamster,"Georgia Institute of Technology, USA",North America,Male,Male,2005
Vijay Gopalakrishnan,2013,Organizing,"AT&T Labs - Research, USA",Vijay Gopalakrishnan,"AT&T Labs - Research, USA",North America,Male,Male,2006
Yongguang Zhang,2013,Organizing,"Microsoft Research Asia, China",Yongguang Zhang,"Microsoft Research Asia, China",Asia,Male,Male,1994
Jun Bi,2013,Organizing,"Tsinghua University, China",Jun Bi,"Tsinghua University, China",Asia,Male,Male,Phd
Zihui Ge,2013,Organizing,"AT&T Labs - Research, USA",Zihui Ge,"AT&T Labs - Research, USA",North America,Male,Male,2003
Krishna Gummadi,2013,Organizing,"MPI-SWS, Germany",Krishna Gummadi,"MPI-SWS, Germany",Europe,,Male,2005
Y. Charlie Hu,2013,Organizing,"Purdue University, USA",Y. Charlie Hu,"Purdue University, USA",North America,Male,Male,1997
Augustin Chaintreau,2013,Organizing,"Columbia University, USA",Augustin Chaintreau,"Columbia University, USA",North America,Male,Male,2006
Polly Huang,2013,Organizing,"National Taiwan University, R.O.China",Polly Huang,"National Taiwan University, R.O.China",Asia,Female,Female,1999
Carmen Guerrero,2013,Organizing,University Carlos III Madrid,Carmen Guerrero,University Carlos III Madrid,Europe,Female,Female,1998
Kwok Wai Cheung,2013,Organizing,"The Chinese University of Hong Kong, China",Kwok Wai Cheung,"The Chinese University of Hong Kong, China",Asia,Male,Male,1987
Bruce Maggs,2013,Organizing,"Duke University, USA",Bruce Maggs,"Duke University, USA",North America,Male,Male,1989
Jaudelice de Oliveira,2013,Organizing,"Drexel University, USA",Jaudelice de Oliveira,"Drexel University, USA",North America,Female,Female,2003
Fabián E. Bustamante,2014,Organizing,"Northwestern U., USA",Fabián E. Bustamante,"Northwestern U., USA",North America,,Male,2001
Y. Charlie Hu,2014,Organizing,"Purdue U., USA",Y. Charlie Hu,"Purdue U., USA",North America,Male,Male,1997
Yan Chen,2014,Organizing,"Northwestern U., USA",Yan Chen,"Northwestern U., USA",North America,Male,Male,2003
Jakob Eriksson,2014,Organizing,"University of Illinois, Chicago, USA",Jakob Eriksson,"University of Illinois, Chicago, USA",North America,Male,Male,2006
Randall Berry,2014,Organizing,"Northwestern U., USA",Randall Berry,"Northwestern U., USA",North America,Male,Male,2000
Matthew Caesar,2014,Organizing,"U. of Illinois, Urbana-Champaign, USA",Matthew Caesar,"U. of Illinois, Urbana-Champaign, USA",North America,,Male,2007
Ming Zhang,2014,Organizing,"Microsoft Research, USA",Ming Zhang,"Microsoft Research, USA",North America,Male,Male,2005
Sonia Fahmy,2014,Organizing,"Purdue U., USA",Sonia Fahmy,"Purdue U., USA",North America,Female,Female,1999
Jia Wang,2014,Organizing,"AT&T Labs, USA",Jia Wang,"AT&T Labs, USA",North America,Female,Female,2001
David R. Choffnes,2014,Organizing,"Northeastern University, USA",David R. Choffnes,"Northeastern University, USA",North America,,Male,2010
Kun Tan,2014,Organizing,"Microsoft Research, China",Kun Tan,"Microsoft Research, China",Asia,Male,Male,?
Xenofontas Dimitropulos,2014,Organizing,"ETH Zurich, Switzerland",Xenofontas Dimitropulos,"ETH Zurich, Switzerland",Europe,,Male,2006
Phillipa Gill,2014,Organizing,"Stony Brook U., USA",Phillipa Gill,"Stony Brook U., USA",North America,Female,Female,2012
Bin Liu,2014,Organizing,"Tsinghua U., China",Bin Liu,"Tsinghua U., China",Asia,Male,Male,1993
Claudio Righetti,2014,Organizing,"Universidad de Buenos Aires, Argentina",Claudio Righetti,"Universidad de Buenos Aires, Argentina",South America,Male,Male,2000
Robin Kravets,2014,Organizing,"U. of Illinois, Urbana-Champaign, USA",Robin Kravets,"U. of Illinois, Urbana-Champaign, USA",North America,Female,Female,1999
Minlan Yu,2014,Organizing,"University of Southern California, USA",Minlan Yu,"University of Southern California, USA",North America,Female,Female,2011
Tilman Wolf,2014,Organizing,"University of Massachusetts Amherst, USA",Tilman Wolf,"University of Massachusetts Amherst, USA",North America,Male,Male,2002
Ignacio Alvarez-Hamelin,2014,Organizing,"Universidad de Buenos Aires, Argentina",Ignacio Alvarez-Hamelin,"Universidad de Buenos Aires, Argentina",South America,Male,Male,2002
Wenjun Hu,2014,Organizing,"Yale University, USA",Wenjun Hu,"Yale University, USA",North America,Female,Female,2008
Dimitrios Koutsonikolas,2014,Organizing,"U. at Buffalo, SUNY, USA",Dimitrios Koutsonikolas,"U. at Buffalo, SUNY, USA",North America,Male,Male,2010
Marco Mellia,2014,Organizing,"Politecnico di Torino, Italy",Marco Mellia,"Politecnico di Torino, Italy",Europe,Male,Male,2000
Sujata Banerjee,2014,Organizing,"HP Labs, USA",Sujata Banerjee,"HP Labs, USA",North America,Female,Female,1993
P. Brighten Godfrey,2014,Organizing,"U. of Illinois, Urbana-Champaign, USA",P. Brighten Godfrey,"U. of Illinois, Urbana-Champaign, USA",North America,Male,Male,2009
Yashar Ganjali,2014,Organizing,"U. of Toronto, Canada",Yashar Ganjali,"U. of Toronto, Canada",North America,Male,Male,2006
Jaudelice de Oliveira,2014,Organizing,"Drexel University, USA",Jaudelice de Oliveira,"Drexel University, USA",North America,Female,Female,2003
Steve Uhlig,2015,Organizing,"Queen Mary University of London, UK",Steve Uhlig,"Queen Mary University of London, UK",Europe,Male,Male,2004
Olaf Maennel,2015,Organizing,"Tallinn U. of Technology, Estonia",Olaf Maennel,"Tallinn U. of Technology, Estonia",Europe,Male,Male,2005
Hamed Haddadi,2015,Organizing,"Queen Mary U. of London, UK",Hamed Haddadi,"Queen Mary U. of London, UK",Europe,Male,Male,2008
Paolo Costa,2015,Organizing,"Microsoft Research Cambridge, UK",Paolo Costa,"Microsoft Research Cambridge, UK",Europe,Male,Male,2002
Jon Crowcroft,2015,Organizing,"U. of Cambridge, UK",Jon Crowcroft,"U. of Cambridge, UK",Europe,Male,Male,1993
Christophe Diot,2015,Organizing,"Technicolor, France",Christophe Diot,"Technicolor, France",Europe,Male,Male,1991
Luigi Rizzo,2015,Organizing,"U. di Pisa, Italy",Luigi Rizzo,"U. di Pisa, Italy",Europe,Male,Male,1998
Richard Mortier,2015,Organizing,"U. of Nottingham, UK",Richard Mortier,"U. of Nottingham, UK",Europe,Male,Male,2001
Cigdem Sengul,2015,Organizing,"Oxford-Brookes U., UK",Cigdem Sengul,"Oxford-Brookes U., UK",Europe,Female,Female,2007
Craig Partridge,2015,Organizing,"Raytheon BBN, USA",Craig Partridge,"Raytheon BBN, USA",North America,Male,Male,1992
Fahad Dogar,2015,Organizing,"Raytheon BBN, USA",Fahad Dogar,"Raytheon BBN, USA",North America,Male,Male,2012
Olivier Bonaventure,2015,Organizing,"U. Catolique de Louvaine, Belgium",Olivier Bonaventure,"U. Catolique de Louvaine, Belgium",Europe,Male,Male,1999
Cristel Pelsser,2015,Organizing,"IIJ, Japan",Cristel Pelsser,"IIJ, Japan",Asia,Female,Female,2006
Georgios Smaragdakis,2015,Organizing,"MIT, USA and TU Berlin, Germany",Georgios Smaragdakis,"MIT, USA and TU Berlin, Germany",Europe,Male,Male,2009
Theophilus Benson,2015,Organizing,"Duke U., USA",Theophilus Benson,"Duke U., USA",North America,Male,Male,2012
Gaogang Xie,2015,Organizing,"ICT CAS, China",Gaogang Xie,"ICT CAS, China",Asia,Male,Male,?
Chadi  Barakat,2015,Organizing,"Inria Sophia Antipolis, France",Chadi  Barakat,"Inria Sophia Antipolis, France",Europe,,Male,2001
Gonca Gursun,2015,Organizing,"Ozyegin University, Turkey",Gonca Gursun,"Ozyegin University, Turkey",Asia,Female,Female,2013
Ethan Katz-Bassett,2015,Organizing,"U. of Southern California, USA",Ethan Katz-Bassett,"U. of Southern California, USA",North America,Male,Male,2012
Te-Yuan Huang,2015,Organizing,"Netflix, USA",Te-Yuan Huang,"Netflix, USA",North America,,Female,2014
Maria Kazandjieva,2015,Organizing,"Netflix, USA",Maria Kazandjieva,"Netflix, USA",North America,Female,Female,2012
Justine Sherry,2015,Organizing,"U. of Berkeley, USA",Justine Sherry,"U. of Berkeley, USA",North America,Female,Female,2016
Vyas Sekar,2015,Organizing,"Carnegie Mellon U., USA",Vyas Sekar,"Carnegie Mellon U., USA",North America,Male,Male,2010
Christian Kreibich,2015,Organizing,"ICSI, U. of Berkeley, USA",Christian Kreibich,"ICSI, U. of Berkeley, USA",North America,Male,Male,2004
Matthew Roughan,2015,Organizing,"U. of Adelaide, Australia",Matthew Roughan,"U. of Adelaide, Australia",Australia,Male,Male,1994
Andrew Moore,2015,Organizing,"U. of Cambridge, UK",Andrew Moore,"U. of Cambridge, UK",Europe,Male,Male,2001
Miguel Rio,2015,Organizing,"U. College London, UK",Miguel Rio,"U. College London, UK",Europe,Male,Male,Phd
Felix Cuadrado,2015,Organizing,"Queen Mary U. of London, UK",Felix Cuadrado,"Queen Mary U. of London, UK",Europe,Male,Male,2009
Renata Teixeira,2015,Organizing,Inria Paris-Rocquencourt,Renata Teixeira,Inria Paris-Rocquencourt,Europe,Female,Female,2005
Nick Feamster,2015,Organizing,"Princeton U., USA",Nick Feamster,"Princeton U., USA",North America,Male,Male,2005
Yashar Ganjali,2015,Organizing,"U. of Toronto, Canada",Yashar Ganjali,"U. of Toronto, Canada",North America,Male,Male,2006
Marinho P Barcellos,2016,Organizing,"UFRGS, Brazil",Marinho P Barcellos,"UFRGS, Brazil",South America,,Female,1998
Jon Crowcroft,2016,Organizing,"University of Cambridge, UK",Jon Crowcroft,"University of Cambridge, UK",Europe,Male,Male,1993
Fabíola Greve,2016,Organizing,"UFBA, Brazil",Fabíola Greve,"UFBA, Brazil",South America,Female,Female,2002
Leobino Sampaio,2016,Organizing,"UFBA, Brazil",Leobino Sampaio,"UFBA, Brazil",South America,Male,Male,2011
Pan Hui,2016,Organizing,"Hong Kong U. of Science and Technology, Hong Kong",Pan Hui,"Hong Kong U. of Science and Technology, Hong Kong",Asia,Male,Male,2008
Christian E Rothenberg,2016,Organizing,"UNICAMP, Brazil",Christian E Rothenberg,"UNICAMP, Brazil",South America,,Male,2010
Fahad Dogar,2016,Organizing,"Tufts University, USA",Fahad Dogar,"Tufts University, USA",North America,Male,Male,2012
Craig Partridge,2016,Organizing,"Raytheon BBN Technologies, USA",Craig Partridge,"Raytheon BBN Technologies, USA",North America,Male,Male,1992
Aruna Balasubramanian,2016,Organizing,"Stony Brook University, USA",Aruna Balasubramanian,"Stony Brook University, USA",North America,Female,Female,2011
Te-Yuan Huang,2016,Organizing,"Netflix, USA",Te-Yuan Huang,"Netflix, USA",North America,,Female,2014
Marco Canini,2016,Organizing,"KAUST, KSA",Marco Canini,"KAUST, KSA",Asia,Male,Male,2009
Daniel R Figueiredo,2016,Organizing,"UFRJ, Brazil",Daniel R Figueiredo,"UFRJ, Brazil",South America,,Male,2005
Aakanksha Chowdhery,2016,Organizing,"Princeton University, USA",Aakanksha Chowdhery,"Princeton University, USA",North America,Female,Female,2012
Matteo Varvello,2016,Organizing,"Telefonica, Spain",Matteo Varvello,"Telefonica, Spain",Europe,Male,Male,2009
Ronaldo A Ferreira,2016,Organizing,"UFMS, Brazil",Ronaldo A Ferreira,"UFMS, Brazil",South America,Male,Male,2006
Hamed Haddadi,2016,Organizing,"Queen Mary U. of London, UK",Hamed Haddadi,"Queen Mary U. of London, UK",Europe,Male,Male,2008
Sharon Goldberg,2016,Organizing,"Boston University, USA",Sharon Goldberg,"Boston University, USA",North America,Female,Female,2009
Ítalo Cunha,2016,Organizing,"UFMG, Brazil",Ítalo Cunha,"UFMG, Brazil",South America,,Male,2011
Ethan Katz-Bassett,2016,Organizing,"University of Southern California, USA",Ethan Katz-Bassett,"University of Southern California, USA",North America,Male,Male,2012
Maria Kazandjieva,2016,Organizing,"Netflix, USA",Maria Kazandjieva,"Netflix, USA",North America,Female,Female,2012
Phillipa Gill,2016,Organizing,"Stony Brook University, USA",Phillipa Gill,"Stony Brook University, USA",North America,Female,Female,2012
Lisandro Z Granville,2016,Organizing,"UFRGS, Brazil",Lisandro Z Granville,"UFRGS, Brazil",South America,Male,Male,2001
Sue Moon,2016,Organizing,"KAIST , Korea",Sue Moon,"KAIST , Korea",Asia,Female,Female,2000
Costin Raiciu,2016,Organizing,"University Politehnica of Bucharest, Romania",Costin Raiciu,"University Politehnica of Bucharest, Romania",Europe,Male,Male,2011
Christophe Diot,2016,Organizing,"Safran Analytics, France",Christophe Diot,"Safran Analytics, France",Europe,Male,Male,1991
Raj Jain,2016,Organizing,"Washington University in St. Louis, USA",Raj Jain,"Washington University in St. Louis, USA",North America,Male,Male,1978
Weverton Cordeiro,2016,Organizing,"UFRGS, Brazil",Weverton Cordeiro,"UFRGS, Brazil",South America,Male,Male,2014
Anna-Kaisa Pietilainen,2016,Organizing,"Inria, France",Anna-Kaisa Pietilainen,"Inria, France",Europe,Female,Female,2010
Jussara Almeida,2016,Organizing,"UFMG, Brazil",Jussara Almeida,"UFMG, Brazil",South America,Female,Female,2003
Lars Eggert,2016,Organizing,"Netapp, Germany",Lars Eggert,"Netapp, Germany",Europe,Male,Male,2003
Yashar Ganjali,2016,Organizing,"University of Toronto, Canada",Yashar Ganjali,"University of Toronto, Canada",North America,Male,Male,2006
K. K. Ramakrishnan,2017,Organizing,"University of California, Riverside",K. K. Ramakrishnan,"University of California, Riverside",North America,Male,Male,1983
Lixia Zhang,2017,Organizing,"University of California, Los Angeles",Lixia Zhang,"University of California, Los Angeles",North America,Female,Female,1989
Peter Reiher,2017,Organizing,"University of California, Los Angeles",Peter Reiher,"University of California, Los Angeles",North America,Male,Male,1987
Bharathan Balaji,2017,Organizing,"University of California, Los Angeles",Bharathan Balaji,"University of California, Los Angeles",North America,Male,Male,2016
Fahad Dogar,2017,Organizing,Tufts University,Fahad Dogar,Tufts University,North America,Male,Male,2012
Sergey Gorinsky,2017,Organizing,IMDEA Networks Institute,Sergey Gorinsky,IMDEA Networks Institute,Europe,Male,Male,2003
Alex Afanasyev,2017,Organizing,Florida International University,Alex Afanasyev,Florida International University,North America,Male,Male,2013
Mayutan Arumaithurai,2017,Organizing,University of Goettingen,Mayutan Arumaithurai,University of Goettingen,Europe,Male,Male,2010
Dan Li,2017,Organizing,Tsinghua University,Dan Li,Tsinghua University,Asia,Male,Male,2007
Jiasi Chen,2017,Organizing,"University of California, Riverside",Jiasi Chen,"University of California, Riverside",North America,Female,Female,2015
Lan Wang,2017,Organizing,University of Memphis,Lan Wang,University of Memphis,North America,Female,Female,2004
Hamed Haddadi,2017,Organizing,"Queen Mary University of London, UK",Hamed Haddadi,"Queen Mary University of London, UK",Europe,Male,Male,2008
Minlan Yu,2017,Organizing,Yale University,Minlan Yu,Yale University,North America,Female,Female,2011
Lars Eggert,2017,Organizing,NetApp,Lars Eggert,NetApp,Europe,Male,Male,2003
Lili Qiu,2017,Organizing,University of Texas at Austin,Lili Qiu,University of Texas at Austin,North America,Female,Female,2001
David Oran,2017,Organizing,Unknown,David Oran,Unknown,North America,Male,Male,?
Bruce Maggs,2017,Organizing,Duke Univeristy / Akamai Technologies,Bruce Maggs,Duke Univeristy / Akamai Technologies,North America,Male,Male,1989
Yashar Ganjali,2017,Organizing,"University of Toronto, Canada",Yashar Ganjali,"University of Toronto, Canada",North America,Male,Male,2006
Alex C. Snoeren,2017,Organizing,UC San Diego,Alex C. Snoeren,UC San Diego,North America,Male,Male,2002
Walter Willinger,2017,Organizing,"NIKSUN, Inc.",Walter Willinger,"NIKSUN, Inc.",North America,Male,Male,1987
Radhika Niranjan Mysore,2017,Organizing,VMware Research,Radhika Niranjan Mysore,VMware Research,North America,Female,Female,2013
Matthias WÃ¤hlisch,2017,Organizing,"Freie UniversitÃ¤t Berlin, Germany",Matthias Waschlisch,"Freie UniversitÃ¤t Berlin, Germany",Europe,,Male,2016
Jeff Burke,2017,Organizing,"University of California, Los Angeles",Jeff Burke,"University of California, Los Angeles",North America,Male,Male,None
Nicholas Zhang,2017,Organizing,Huawei,Nicholas Zhang,Huawei,Europe,Male,Male,?
David Meyer,2017,Organizing,Brocade,David Meyer,Brocade,North America,Male,Male,?
Puneet Sharma,2017,Organizing,Hewlett Packard Labs,Puneet Sharma,Hewlett Packard Labs,North America,Male,Male,1998
Vishal Misra,2017,Organizing,Columbia University,Vishal Misra,Columbia University,North America,Male,Male,2000
Vyas Sekar,2017,Organizing,Carnegie Mellon University,Vyas Sekar,Carnegie Mellon University,North America,Male,Male,2010
Ethan Katz-Bassett,2017,Organizing,University of Southern California,Ethan Katz-Bassett,University of Southern California,North America,Male,Male,2012
Justine Sherry,2017,Organizing,Carnegie Mellon University,Justine Sherry,Carnegie Mellon University,North America,Female,Female,2016
Giovanni Pau,2017,Organizing,"University Pierre et Marie Curie/LIP6, Paris, France",Giovanni Pau,"University Pierre et Marie Curie/LIP6, Paris, France",Europe,,Male,2002
Vahab Pournaghshband,2017,Organizing,"California State University, Northridge",Vahab Pournaghshband,"California State University, Northridge",North America,Male,Male,2014
Sergey Gorinsky,2018,Organizing,"IMDEA, Spain",Sergey Gorinsky,"IMDEA, Spain",Europe,Male,Male,2003
JÃ¡nos Tapolcai,2018,Organizing,"BME, Hungary",Janos Tapolcai,"BME, Hungary",Europe,,Male,2005
Tilman Wolf,2018,Organizing,"UMass, USA",Tilman Wolf,"UMass, USA",North America,Male,Male,2002
Mark Handley,2018,Organizing,"UCL, UK",Mark Handley,"UCL, UK",Europe,Male,Male,1997
Dina Katabi,2018,Organizing,"MIT, USA",Dina Katabi,"MIT, USA",North America,Female,Female,2003
Xiaoming Fu,2018,Organizing,"GAU, Germany",Xiaoming Fu,"GAU, Germany",Europe,,Male,2000
K. K. Ramakrishnan,2018,Organizing,"UCR, USA",K. K. Ramakrishnan,"UCR, USA",North America,Male,Male,1983
Marco Canini,2018,Organizing,"KAUST, KSA",Marco Canini,"KAUST, KSA",Asia,Male,Male,2009
BalÃ¡zs Sonkoly,2018,Organizing,"BME, Hungary",Balazs Sonkoly,"BME, Hungary",Europe,,Male,2010
Aleksandar Kuzmanovic,2018,Organizing,"Northwestern, USA",Aleksandar Kuzmanovic,"Northwestern, USA",North America,Male,Male,2004
Matteo Varvello,2018,Organizing,"AT&T, USA",Matteo Varvello,"AT&T, USA",North America,Male,Male,2009
Suresh Subramaniam,2018,Organizing,"GWU, USA",Suresh Subramaniam,"GWU, USA",North America,Male,Male,1997
Szabolcs Malomsoky,2018,Organizing,"Ericsson, Hungary",Szabolcs Malomsoky,"Ericsson, Hungary",Europe,Male,Male,2003
Ruslan Smeliansky,2018,Organizing,"MSU and ARCCN, Russia",Ruslan Smeliansky,"MSU and ARCCN, Russia",Europe,,Male,1990
AndrÃ¡s CsÃ¡szÃ¡r,2018,Organizing,"Ericsson, Hungary",Andras Csaszar,"Ericsson, Hungary",Europe,Male,Male,2008
Ravi Kokku,2018,Organizing,"IBM, USA",Ravi Kokku,"IBM, USA",North America,Male,Male,2005
Costin Raiciu,2018,Organizing,"UPB, Romania",Costin Raiciu,"UPB, Romania",Europe,Male,Male,2011
Marco Chiesa,2018,Organizing,"KTH, Sweden",Marco Chiesa,"KTH, Sweden",Europe,Male,Male,2014
Zhi-Li Zhang,2018,Organizing,"UMN, USA",Zhi-Li Zhang,"UMN, USA",North America,Male,Male,1997
Fernando Kuipers,2018,Organizing,"TU Delft, Netherlands",Fernando Kuipers,"TU Delft, Netherlands",Europe,Male,Male,2004
GÃ¡bor RÃ©tvÃ¡ri,2018,Organizing,"BME, Hungary",Gabor Retvari,"BME, Hungary",Europe,Male,Male,2007
Vasileios Giotsas,2018,Organizing,"Lancaster, UK",Vasileios Giotsas,"Lancaster, UK",Europe,Male,Male,2014
ZoltÃ¡n LÃ¡zÃ¡r,2018,Organizing,"Nokia, Hungary",Zoltan Lazar,"Nokia, Hungary",Europe,Male,Male,2003
Levente Csikor,2018,Organizing,"BME, Hungary and Unicamp, Brazil",Levente Csikor,"BME, Hungary and Unicamp, Brazil",South America,Male,Male,2015
IstvÃ¡n GÃ³dor,2018,Organizing,"Ericsson, Hungary",Istvan Godor,"Ericsson, Hungary",Europe,,Male,2005
ZalÃ¡n Heszberger,2018,Organizing,"BME, Hungary",Zalan Heszberger,"BME, Hungary",Europe,,Male,2007
Michael Schapira,2018,Organizing,"HUJI, Israel",Michael Schapira,"HUJI, Israel",Asia,Male,Male,2008
Stefan Schmid,2018,Organizing,"Univie, Austria",Stefan Schmid,"Univie, Austria",Europe,,Male,2008
Joseph Tardo,2018,Organizing,"tardo, USA",Joseph Tardo,"tardo, USA",North America,Male,Male,?
Christina Vlachou,2018,Organizing,"HPE, USA",Christina Vlachou,"HPE, USA",North America,Female,Female,2016
Antonio Fernandez Anta,2018,Organizing,"IMDEA, Spain",Antonio Fernandez Anta,"IMDEA, Spain",Europe,Male,Male,1994
Jasleen Kaur,2018,Organizing,"UNC, USA",Jasleen Kaur,"UNC, USA",North America,Female,Female,2002
Ignacio Castro,2018,Organizing,"QMUL, UK",Ignacio Castro,"QMUL, UK",Europe,Male,Male,2015
Pin-Han Ho,2018,Organizing,"UWaterloo, Canada",Pin-Han Ho,"UWaterloo, Canada",North America,Male,Male,2002
Henry Xu,2018,Organizing,"CityU, China",Henry Xu,"CityU, China",Asia,Male,Male,2013
Bruce Maggs,2018,Organizing,"Duke and Akamai, USA",Bruce Maggs,"Duke and Akamai, USA",North America,Male,Male,1989
Justine Sherry,2018,Organizing,"CMU, USA",Justine Sherry,"CMU, USA",North America,Female,Female,2016
Steve Uhlig,2018,Organizing,"QMUL, UK",Steve Uhlig,"QMUL, UK",Europe,Male,Male,2004
Jianping Wu,2019,Organizing,"Tsinghua University, China",Jianping Wu,"Tsinghua University, China",Asia,Male,Male,1997
Wendy Hall,2019,Organizing,"University of Southampton, UK",Wendy Hall,"University of Southampton, UK",Europe,Female,Female,1977
Yong Cui,2019,Organizing,"Tsinghua University, China",Yong Cui,"Tsinghua University, China",Asia,Male,Male,2004
Xiangyang Li,2019,Organizing,"USTC, China",Xiangyang Li,"USTC, China",Asia,Male,Male,2001
Katerina Argyraki,2019,Organizing,"EPFL, Switzerland",Katerina Argyraki,"EPFL, Switzerland",Europe,,Female,2007
John Heidemann,2019,Organizing,"USC/ISI, USA",John Heidemann,"USC/ISI, USA",North America,,Male,1995
Ashutosh Sabharwal,2019,Organizing,"Rice University, USA",Ashutosh Sabharwal,"Rice University, USA",North America,Male,Male,1999
Lixin Gao,2019,Organizing,"UMass, USA",Lixin Gao,"UMass, USA",North America,Female,Female,1997
Srinivasan Keshav,2019,Organizing,"University of Waterloo, Canada",Srinivasan Keshav,"University of Waterloo, Canada",North America,Male,Male,1991
Lixia Zhang,2019,Organizing,"UCLA, USA",Lixia Zhang,"UCLA, USA",North America,Female,Female,1989
Xiaoming Fu,2019,Organizing,"University of Goettingen, Germany",Xiaoming Fu,"University of Goettingen, Germany",Europe,,Male,2000
Zhili Zhang,2019,Organizing,"UMN, USA",Zhili Zhang,"UMN, USA",North America,Male,Male,1997
Gaogang Xie,2019,Organizing,"ICT, China",Gaogang Xie,"ICT, China",Asia,Male,Male,?
